May 16 19:33:10 research21 systemd[1]: Started snap.k8s.kube-controller-manager.service - Service for snap application k8s.kube-controller-manager.
May 16 19:33:10 research21 k8s.kube-controller-manager[36373]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:10 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:14 research21 k8s.kube-controller-manager[36994]: The connection to the server 127.0.0.1:6443 was refused - did you specify the right host or port?
May 16 19:33:14 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:18 research21 k8s.kube-controller-manager[37279]: Error from server (Forbidden): forbidden: User "system:node:research21" cannot get path "/readyz"
May 16 19:33:18 research21 k8s.kube-controller-manager[36331]: Waiting for kube-apiserver to start
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + ulimit -c unlimited
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + export GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + GOTRACEBACK=crash
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + [[ -f /var/snap/k8s/common/args/kube-controller-manager-env ]]
May 16 19:33:21 research21 k8s.kube-controller-manager[36331]: + exec /snap/k8s/2500/bin/kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller.conf --authorization-kubeconfig=/etc/kubernetes/controller.conf --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --kubeconfig=/etc/kubernetes/controller.conf --leader-elect-lease-duration=30s --leader-elect-renew-deadline=15s --profiling=false --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/serviceaccount.key --terminated-pod-gc-threshold=12500 --tls-min-version=VersionTLS12 --use-service-account-credentials=true
May 16 19:33:23 research21 k8s.kube-controller-manager[36331]: I0516 19:33:23.577344   36331 serving.go:386] Generated self-signed cert in-memory
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.390540   36331 controllermanager.go:185] "Starting" version="v1.32.2"
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.390581   36331 controllermanager.go:187] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK="crash"
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.420689   36331 requestheader_controller.go:180] Starting RequestHeaderAuthRequestController
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.420758   36331 shared_informer.go:313] Waiting for caches to sync for RequestHeaderAuthRequestController
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.420824   36331 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.420847   36331 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.420878   36331 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.420895   36331 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.422358   36331 secure_serving.go:213] Serving securely on [::]:10257
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.423039   36331 leaderelection.go:257] attempting to acquire leader lease kube-system/kube-controller-manager...
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.423302   36331 tlsconfig.go:243] "Starting DynamicServingCertificateController"
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.428784   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.430071   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.434363   36331 type.go:183] The watchlist request for configmaps ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.435789   36331 type.go:183] The watchlist request for configmaps ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.436035   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.442186   36331 type.go:183] The watchlist request for configmaps ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.464106   36331 leaderelection.go:271] successfully acquired lease kube-system/kube-controller-manager
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.466033   36331 event.go:389] "Event occurred" object="kube-system/kube-controller-manager" fieldPath="" kind="Lease" apiVersion="coordination.k8s.io/v1" type="Normal" reason="LeaderElection" message="research21_c2ea56ed-4929-4bc9-b09d-1f8c48f2681b became leader"
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.481530   36331 shared_informer.go:313] Waiting for caches to sync for tokens
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: I0516 19:33:26.482438   36331 controllermanager.go:765] "Started controller" controller="serviceaccount-token-controller"
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.496763   36331 reflector.go:362] The watchlist request ended with an error, falling back to the standard LIST/WATCH semantics because making progress is better than deadlocking, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
May 16 19:33:26 research21 k8s.kube-controller-manager[36331]: W0516 19:33:26.504091   36331 type.go:183] The watchlist request for secrets ended with an error, falling back to the standard LIST semantics, err = ListOptions.meta.k8s.io "" is invalid: sendInitialEvents: Forbidden: sendInitialEvents is forbidden for watch unless the WatchList feature gate is enabled
